Format Version,1.22,Take Name,hw3_v2_B_008,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,29 Dec 1969 01:14:50 +0800,Total Frames in Take,1114,Total Exported Frames,1114,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02
,,"4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,,,,,,,,-0.037094,-0.349192,0.074486,-0.933349,-0.855208,0.172602,0.647990
1,0.002778,,,,,,,,-0.037050,-0.349215,0.074493,-0.933342,-0.855225,0.172623,0.648006
2,0.005556,,,,,,,,-0.037098,-0.349203,0.074479,-0.933345,-0.855211,0.172604,0.647987
3,0.008333,,,,,,,,-0.036920,-0.349142,0.074624,-0.933364,-0.855252,0.172724,0.647956
4,0.011111,,,,,,,,-0.037012,-0.349166,0.074524,-0.933359,-0.855259,0.172687,0.647978
5,0.013889,,,,,,,,-0.036992,-0.349183,0.074527,-0.933353,-0.855227,0.172646,0.647969
6,0.016667,,,,,,,,-0.037092,-0.349220,0.074485,-0.933339,-0.855212,0.172606,0.647987
