Format Version,1.22,Take Name,hw3_v2_B_006,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,29 Dec 1969 01:13:41 +0800,Total Frames in Take,649,Total Exported Frames,649,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02
,,"4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,,,,,,,,-0.009724,-0.601397,0.063256,-0.796383,-0.910146,0.169419,0.808853
1,0.002778,,,,,,,,-0.009727,-0.601402,0.063300,-0.796376,-0.910144,0.169422,0.808852
2,0.005556,,,,,,,,-0.009724,-0.601397,0.063291,-0.796380,-0.910147,0.169418,0.808854
3,0.008333,,,,,,,,-0.009597,-0.601458,0.063451,-0.796323,-0.910138,0.169464,0.808821
4,0.011111,,,,,,,,-0.009622,-0.601448,0.063471,-0.796328,-0.910134,0.169464,0.808819
5,0.013889,,,,,,,,-0.009732,-0.601400,0.063301,-0.796377,-0.910152,0.169418,0.808849
6,0.016667,,,,,,,,-0.009718,-0.601416,0.063303,-0.796365,-0.910140,0.169420,0.808855
