Format Version,1.22,Take Name,hw3_v2_B_002,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,29 Dec 1969 01:11:35 +0800,Total Frames in Take,863,Total Exported Frames,863,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02
,,"4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,,,,,,,,-0.072117,-0.407714,0.216290,-0.884187,-0.866125,0.178404,0.791050
1,0.002778,,,,,,,,-0.072132,-0.407705,0.216296,-0.884189,-0.866124,0.178386,0.791031
2,0.005556,,,,,,,,-0.072156,-0.407698,0.216290,-0.884191,-0.866120,0.178381,0.791031
3,0.008333,,,,,,,,-0.072098,-0.407707,0.216379,-0.884171,-0.866136,0.178326,0.791008
4,0.011111,,,,,,,,-0.072127,-0.407709,0.216288,-0.884189,-0.866112,0.178387,0.791034
5,0.013889,,,,,,,,-0.072137,-0.407701,0.216306,-0.884188,-0.866119,0.178372,0.791042
6,0.016667,,,,,,,,-0.072077,-0.407740,0.216377,-0.884157,-0.866135,0.178297,0.790998
