Format Version,1.22,Take Name,hw3_v2_A_007,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,29 Dec 1969 00:51:41 +0800,Total Frames in Take,813,Total Exported Frames,813,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02
,,"4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
44,0.122222,,,,,,,,-0.071921,-0.440556,0.261693,-0.855719,-1.262156,0.176333,0.898744
45,0.125000,,,,,,,,-0.071906,-0.440568,0.261693,-0.855714,-1.262159,0.176339,0.898744
46,0.127778,,,,,,,,-0.071816,-0.440600,0.261600,-0.855733,-1.262187,0.176242,0.898727
47,0.130556,,,,,,,,-0.071990,-0.440552,0.261642,-0.855731,-1.262180,0.176279,0.898759
48,0.133333,,,,,,,,-0.071770,-0.440601,0.261673,-0.855714,-1.262182,0.176277,0.898708
49,0.136111,,,,,,,,-0.071815,-0.440625,0.261631,-0.855711,-1.262188,0.176240,0.898727
50,0.138889,,,,,,,,-0.071933,-0.440551,0.261724,-0.855711,-1.262162,0.176333,0.898743
51,0.141667,,,,,,,,-0.071929,-0.440542,0.261696,-0.855724,-1.262153,0.176339,0.898745
52,0.144444,,,,,,,,-0.071892,-0.440527,0.261705,-0.855733,-1.262144,0.176361,0.898738
53,0.147222,,,,,,,,-0.071889,-0.440568,0.261699,-0.855714,-1.262161,0.176331,0.898747
54,0.150000,,,,,,,,-0.071985,-0.440556,0.261655,-0.855725,-1.262172,0.176294,0.898754
55,0.152778,,,,,,,,-0.071451,-0.440667,0.261940,-0.855625,-1.262208,0.176175,0.898845
56,0.155556,,,,,,,,-0.071706,-0.440635,0.261703,-0.855693,-1.262182,0.176265,0.898715
57,0.158333,,,,,,,,-0.071949,-0.440566,0.261613,-0.855736,-1.262164,0.176289,0.898753
58,0.161111,,,,,,,,-0.071929,-0.440544,0.261689,-0.855725,-1.262165,0.176321,0.898749
59,0.163889,,,,,,,,-0.071907,-0.440575,0.261682,-0.855714,-1.262156,0.176331,0.898744
60,0.166667,,,,,,,,-0.071979,-0.440569,0.261620,-0.855729,-1.262164,0.176296,0.898759
61,0.169444,,,,,,,,-0.071784,-0.440609,0.261706,-0.855699,-1.262193,0.176261,0.898707
62,0.172222,,,,,,,,-0.071892,-0.440570,0.261692,-0.855714,-1.262159,0.176326,0.898743
63,0.175000,,,,,,,,-0.072009,-0.440547,0.261657,-0.855727,-1.262166,0.176295,0.898761
64,0.177778,,,,,,,,-0.071915,-0.440576,0.261692,-0.855709,-1.262156,0.176341,0.898746
65,0.180556,,,,,,,,-0.071898,-0.440575,0.261706,-0.855707,-1.262157,0.176332,0.898734
66,0.183333,,,,,,,,-0.071746,-0.440598,0.261675,-0.855717,-1.262177,0.176283,0.898708
67,0.186111,,,,,,,,-0.071769,-0.440581,0.261691,-0.855719,-1.262186,0.176270,0.898702
68,0.188889,,,,,,,,-0.071747,-0.440602,0.261704,-0.855706,-1.262197,0.176276,0.898702
69,0.191667,,,,,,,,-0.071734,-0.440577,0.261719,-0.855716,-1.262185,0.176292,0.898695
70,0.194444,,,,,,,,-0.071941,-0.440581,0.261640,-0.855721,-1.262161,0.176308,0.898757
71,0.197222,,,,,,,,-0.071917,-0.440561,0.261682,-0.855720,-1.262151,0.176339,0.898737
72,0.200000,,,,,,,,-0.071910,-0.440557,0.261686,-0.855722,-1.262157,0.176333,0.898736
73,0.202778,,,,,,,,-0.071913,-0.440573,0.261729,-0.855700,-1.262153,0.176342,0.898740
74,0.205556,,,,,,,,-0.071899,-0.440534,0.261736,-0.855719,-1.262159,0.176352,0.898739
75,0.208333,,,,,,,,-0.071469,-0.440656,0.261903,-0.855641,-1.262218,0.176185,0.898847
76,0.211111,,,,,,,,-0.071912,-0.440588,0.261626,-0.855724,-1.262161,0.176284,0.898777
77,0.213889,,,,,,,,-0.071905,-0.440566,0.261667,-0.855723,-1.262157,0.176327,0.898752
78,0.216667,,,,,,,,-0.071833,-0.440615,0.261613,-0.855721,-1.262197,0.176231,0.898731
79,0.219444,,,,,,,,-0.071927,-0.440556,0.261676,-0.855723,-1.262152,0.176322,0.898749
