Format Version,1.22,Take Name,hw3_v2_B_001,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,29 Dec 1969 01:11:04 +0800,Total Frames in Take,654,Total Exported Frames,654,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02
,,"4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
44,0.122222,,,,,,,,-0.140172,-0.161410,0.211099,-0.953801,-0.886676,0.178274,0.697312
45,0.125000,,,,,,,,-0.140170,-0.161411,0.211111,-0.953798,-0.886680,0.178276,0.697316
46,0.127778,,,,,,,,-0.140177,-0.161422,0.211102,-0.953797,-0.886675,0.178278,0.697314
47,0.130556,,,,,,,,-0.140179,-0.161416,0.211112,-0.953796,-0.886675,0.178280,0.697310
48,0.133333,,,,,,,,-0.140170,-0.161419,0.211101,-0.953799,-0.886681,0.178275,0.697308
49,0.136111,,,,,,,,-0.140193,-0.161396,0.211096,-0.953801,-0.886676,0.178279,0.697307
50,0.138889,,,,,,,,-0.140175,-0.161422,0.211092,-0.953800,-0.886676,0.178283,0.697310
51,0.141667,,,,,,,,-0.140180,-0.161411,0.211118,-0.953795,-0.886666,0.178287,0.697306
52,0.144444,,,,,,,,-0.140294,-0.161168,0.210629,-0.953928,-0.886588,0.178513,0.697429
53,0.147222,,,,,,,,-0.140198,-0.161378,0.211055,-0.953812,-0.886671,0.178298,0.697321
54,0.150000,,,,,,,,-0.140173,-0.161403,0.211091,-0.953804,-0.886678,0.178284,0.697307
55,0.152778,,,,,,,,-0.140162,-0.161412,0.211100,-0.953802,-0.886680,0.178273,0.697308
56,0.155556,,,,,,,,-0.140292,-0.161156,0.210612,-0.953934,-0.886597,0.178507,0.697434
57,0.158333,,,,,,,,-0.140181,-0.161387,0.211060,-0.953812,-0.886671,0.178291,0.697322
58,0.161111,,,,,,,,-0.140169,-0.161405,0.211106,-0.953800,-0.886679,0.178276,0.697312
59,0.163889,,,,,,,,-0.140276,-0.161155,0.210610,-0.953937,-0.886601,0.178498,0.697434
60,0.166667,,,,,,,,-0.140197,-0.161379,0.211044,-0.953815,-0.886669,0.178295,0.697325
61,0.169444,,,,,,,,-0.140169,-0.161414,0.211084,-0.953804,-0.886681,0.178268,0.697311
62,0.172222,,,,,,,,-0.140174,-0.161404,0.211114,-0.953798,-0.886676,0.178277,0.697314
63,0.175000,,,,,,,,-0.140171,-0.161416,0.211104,-0.953799,-0.886676,0.178268,0.697312
64,0.177778,,,,,,,,-0.140189,-0.161409,0.211093,-0.953800,-0.886674,0.178273,0.697309
65,0.180556,,,,,,,,-0.140165,-0.161404,0.211086,-0.953806,-0.886680,0.178277,0.697315
66,0.183333,,,,,,,,-0.140177,-0.161394,0.211082,-0.953806,-0.886677,0.178272,0.697314
67,0.186111,,,,,,,,-0.140167,-0.161406,0.211103,-0.953801,-0.886682,0.178274,0.697311
68,0.188889,,,,,,,,-0.140174,-0.161410,0.211107,-0.953799,-0.886677,0.178278,0.697313
69,0.191667,,,,,,,,-0.140273,-0.161170,0.210633,-0.953929,-0.886590,0.178505,0.697429
70,0.194444,,,,,,,,-0.140182,-0.161381,0.211040,-0.953817,-0.886664,0.178307,0.697324
71,0.197222,,,,,,,,-0.140178,-0.161404,0.211099,-0.953801,-0.886680,0.178279,0.697311
72,0.200000,,,,,,,,-0.140181,-0.161410,0.211109,-0.953797,-0.886678,0.178279,0.697307
73,0.202778,,,,,,,,-0.140196,-0.161405,0.211114,-0.953795,-0.886683,0.178274,0.697308
74,0.205556,,,,,,,,-0.140188,-0.161405,0.211110,-0.953797,-0.886678,0.178285,0.697306
75,0.208333,,,,,,,,-0.140270,-0.161173,0.210640,-0.953928,-0.886595,0.178506,0.697424
76,0.211111,,,,,,,,-0.140193,-0.161367,0.211024,-0.953821,-0.886662,0.178311,0.697323
77,0.213889,,,,,,,,-0.140172,-0.161401,0.211104,-0.953801,-0.886675,0.178283,0.697311
78,0.216667,,,,,,,,-0.140170,-0.161410,0.211111,-0.953799,-0.886677,0.178277,0.697307
79,0.219444,,,,,,,,-0.140174,-0.161418,0.211114,-0.953796,-0.886678,0.178273,0.697306
80,0.222222,,,,,,,,-0.140165,-0.161421,0.211095,-0.953801,-0.886678,0.178275,0.697312
81,0.225000,,,,,,,,-0.140180,-0.161401,0.211089,-0.953803,-0.886681,0.178275,0.697311
82,0.227778,,,,,,,,-0.140166,-0.161422,0.211095,-0.953801,-0.886679,0.178272,0.697311
83,0.230556,,,,,,,,-0.140191,-0.161407,0.211102,-0.953798,-0.886681,0.178269,0.697308
84,0.233333,,,,,,,,-0.140180,-0.161408,0.211109,-0.953798,-0.886680,0.178277,0.697311
85,0.236111,,,,,,,,-0.140170,-0.161400,0.211109,-0.953801,-0.886679,0.178270,0.697311
86,0.238889,,,,,,,,-0.140265,-0.161179,0.210646,-0.953926,-0.886602,0.178486,0.697427
87,0.241667,,,,,,,,-0.140188,-0.161371,0.211032,-0.953820,-0.886670,0.178301,0.697329
88,0.244444,,,,,,,,-0.140175,-0.161406,0.211097,-0.953801,-0.886674,0.178275,0.697316
89,0.247222,,,,,,,,,,,,,,
90,0.250000,,,,,,,,-0.140179,-0.161410,0.211108,-0.953798,-0.886680,0.178273,0.697313
91,0.252778,,,,,,,,-0.140172,-0.161409,0.211102,-0.953800,-0.886679,0.178276,0.697311
92,0.255556,,,,,,,,-0.140155,-0.161417,0.211111,-0.953799,-0.886676,0.178279,0.697312
93,0.258333,,,,,,,,-0.140182,-0.161402,0.211098,-0.953801,-0.886679,0.178270,0.697312
94,0.261111,,,,,,,,-0.140182,-0.161401,0.211108,-0.953799,-0.886679,0.178281,0.697312
95,0.263889,,,,,,,,-0.140172,-0.161407,0.211104,-0.953800,-0.886680,0.178281,0.697313
96,0.266667,,,,,,,,-0.140172,-0.161412,0.211097,-0.953801,-0.886680,0.178278,0.697307
